beer_name,brewery_name,beer_style,review_taste,beer_abv
Octoberfest,BJ's Restaurant & Brewhouse,Märzen / Oktoberfest,3.576923077,5.6
Octoberfest,Barrel House Brewing Company,Märzen / Oktoberfest,3.583333333,4.2
Octoberfest,Bear Republic Brewing Co.,Märzen / Oktoberfest,4.5,5.5
Octoberfest,Big Dog's Draft House,Märzen / Oktoberfest,4.5,6
Octoberfest,Buller Brewing Co.,Märzen / Oktoberfest,3.25,5.5
Octoberfest,Coopersmith's Pub & Brewing,Märzen / Oktoberfest,3.375,6
Octoberfest,Florida Beer Company,Märzen / Oktoberfest,4.5,5.6
Octoberfest,Gaslight Brewery & Restaurant,Märzen / Oktoberfest,3.5,5.3
Octoberfest,Grindstone Brewing Co.,Märzen / Oktoberfest,4,5
Octoberfest,Iron Hill Brewery & Restaurant,Märzen / Oktoberfest,3.75,6
Octoberfest,McKenzie Brew House,Märzen / Oktoberfest,3.833333333,5.2
Octoberfest,Moylan's Brewery,Märzen / Oktoberfest,3.5,5.8
Octoberfest,Olde Hickory Brewery,Märzen / Oktoberfest,3.65,6
Octoberfest,"Pyramid Breweries, Inc.",Märzen / Oktoberfest,4.5,6.8
Octoberfest,Rockyard Brewing,Märzen / Oktoberfest,4,5.2
Octoberfest,Sequoia Brewing Company,Märzen / Oktoberfest,4,5.3
Octoberfest,Tullycross Tavern & Microbrewery,Märzen / Oktoberfest,3.25,5.3
Octoberfest Lager,Raccoon River Brewing Company,Märzen / Oktoberfest,3.5,6.25
Octoberfest Lager,Southampton Publick House,Märzen / Oktoberfest,4.214285714,5.5
Octoberfest Lager,Sweetwater Tavern & Brewery,Märzen / Oktoberfest,3.75,6.8
Odd Notion (Fall 2009),Magic Hat Brewing Company,Belgian Dark Ale,3.827586207,6.2
Odd Notion (Fall 2010) Green Apple Wit,Magic Hat Brewing Company,Witbier,3.210526316,4.5
Odd Notion (Spring '09),Magic Hat Brewing Company,Herbed / Spiced Beer,3.405797101,5
Odd Notion (Spring 08),Magic Hat Brewing Company,Irish Red Ale,3.669354839,4.6
Odd Notion (Spring 2010),Magic Hat Brewing Company,American Pale Wheat Ale,3.444444444,6
Odd Notion (Summer 08),Magic Hat Brewing Company,English Dark Mild Ale,3.508928571,4.2
Odd Notion (Summer 09),Magic Hat Brewing Company,Belgian Pale Ale,3.462121212,5.9
Odd Notion (Summer 2010),Magic Hat Brewing Company,Herbed / Spiced Beer,3.384615385,5.5
Odd Notion (Summer 2010) Ginger Golden Ale,Magic Hat Brewing Company,American Blonde Ale,3.272727273,6.2
Odd Notion (Winter '10),Magic Hat Brewing Company,American Amber / Red Ale,2.988372093,6
Odd Notion (Winter 07),Magic Hat Brewing Company,American Dark Wheat Ale,3.573033708,7.5
Odd Notion (Winter 08),Magic Hat Brewing Company,Braggot,3.525641026,6
Odd Notion (Winter 09),Magic Hat Brewing Company,American Wild Ale,2.86036036,4.5
Odd Notion 08 American Sour Ale (Summer Seasonal),Magic Hat Brewing Company,Saison / Farmhouse Ale,2.888888889,4.5
Odd Notion Big 100 IPA,Magic Hat Brewing Company,American Double / Imperial IPA,4.025,9
Odd Notion Saki Beer,Magic Hat Brewing Company,American Amber / Red Ale,3.5,4.5
Odd-ummm,Dogfish Head Brewery,Herbed / Spiced Beer,4,7.5
Ode To Mercy,Wild Heaven Craft Beers,American Brown Ale,3.884615385,8.2
Ode To Mercy Special Winter Ale,Wild Heaven Craft Beers,American Brown Ale,4,8.2
Ode To Spooky Vanilla Sour Barlywine,Right Brain Brewery,American Barleywine,4.5,10
Odell 90 Shilling Ale,Odell Brewing Company,Scottish Ale,3.864705882,5.3
Odell Cutthroat Porter,Odell Brewing Company,American Porter,4.120967742,5.1
Odell DeConstruction Golden Ale,Odell Brewing Company,American Wild Ale,4.232142857,10.5
Odell Double Pilsner,Odell Brewing Company,American Double / Imperial Pilsner,3.866438356,8.1
Odell Easy Street Wheat,Odell Brewing Company,American Pale Wheat Ale,3.741007194,4.6
Odell Extra Special Red Ale,Odell Brewing Company,American Strong Ale,4,8
Odell IPA,Odell Brewing Company,American IPA,4.225770925,7
Odell Isolation Ale,Odell Brewing Company,Winter Warmer,3.827868852,6
Odell Levity Amber Ale,Odell Brewing Company,American Amber / Red Ale,3.674603175,5
Odell Wheatwine,Odell Brewing Company,Wheatwine,4,11.3
Odense Porter,L'Amère à Boire,American Porter,3.5,5
Odenwalder Meister Pils,Privat Brauerei Schmucker Ober-Mossau KG,German Pilsener,3.461538462,4.8
Odenwalder Schwarzbier,Privat Brauerei Schmucker Ober-Mossau KG,Schwarzbier,3.666666667,4.8
Odenwälder Ur-Stoff,Privat Brauerei Schmucker Ober-Mossau KG,Keller Bier / Zwickel Bier,4.5,5
Odenwälder Zwickl (O.Z.),Privat Brauerei Schmucker Ober-Mossau KG,Keller Bier / Zwickel Bier,4.5,5
Oderbolz Bock,Pioneer Brewing Company,Bock,3.625,6.5
Odilia Premium Klooster Pilsener (for Kruisheren),Groningse Stadsbrouwerij,Euro Pale Lager,2.5,5
Odin,Minneapolis Town Hall Brewery,Baltic Porter,4.3,8.4
"Odin Pilsener 2,8",Royal Unibrew A/S,Low Alcohol Beer,2,2.8
"Odin Pilsener 3,5",Royal Unibrew A/S,Light Lager,2.5,3.5
Odin's Gift,Odin Brewing Company,American Amber / Red Ale,3.615384615,5.4
Odin's Raven,Alpine Beer Company,American Double / Imperial Stout,4.071428571,10
Odin's Tipple,HaandBryggeriet,Russian Imperial Stout,4.318435754,11
Odin-Trunk,Schlossbrauerei GmbH Fürstlich-Drehna,Märzen / Oktoberfest,2.857142857,5.4
Odnar,Brouwerij Liefmans,Belgian Dark Ale,3.5,4
Odysseus IPA,Deschutes Brewery & Public House,American IPA,3,6.8
Odyssey (2008),Sly Fox Brewing Company,American Double / Imperial IPA,3.875,8.4
Odyssey Best Bitter,Hop Back Brewery plc,English Bitter,3.666666667,4
Odyssey Imperial IPA (2005),Sly Fox Brewing Company,American Double / Imperial IPA,4,8.4
Odyssey Oatmeal Stout,Homer Brewing,Oatmeal Stout,3.833333333,6
Oecher Lager,Lahnsteiner Brauerei,Kölsch,3.5,4.5
Oechsner Schwarz Bier,Oechsner Ankerbräu KG,Schwarzbier,4,5
Oengus Irish-Style Stout,Destihl Restaurant & Brew Works,Irish Dry Stout,4.5,4
Oer Faute,McKenzie Brew House,Baltic Porter,4,9.5
Oerbier,Brouwerij 't Koelschip,Belgian Strong Dark Ale,3,9.5
Oesterstout,Scheldebrouwerij,Foreign / Export Stout,3.695652174,8.5
Oettinger Hefeweissbier,Oettinger Brauerei,Hefeweizen,3.25,4.9
Oettinger Hell,Oettinger Brauerei,Munich Helles Lager,3.5,4.7
Oettinger Hell,Oettinger International Getränke-Vertriebs GmbH,Weizenbock,3.75,4.7
Oettinger Pils,Oettinger Brauerei,German Pilsener,2.875,4.7
Oettinger Winterbier,Oettinger Brauerei,Munich Helles Lager,3.666666667,5.6
Of Love & Regret (Import Series Vol. #1),Stillwater Artisanal Ales,Herbed / Spiced Beer,3.689655172,7.2
Ofen,Artebirraia,Euro Pale Lager,1.5,4.8
Off Grid Pale Ale,New Planet Beer Company,American Pale Ale (APA),2.4375,5
Off Hand,Iron Fist Brewing Company,Saison / Farmhouse Ale,4,8.1
Off The Rail Ale,Blue Cat Brew Pub,American Pale Ale (APA),2.8,5.7
Off The Rails,Karl Strauss Brewing Company,American Strong Ale,3.884615385,8
Off The Rails,Stonehouse Brewery,Extra Special / Strong Bitter (ESB),3.75,4.8
Off With Her'ed,Oggi's Pizza & Brewing Co.,American Amber / Red Ale,3.5,8
Off-(trap)Piste Belgian-Style Grand Cru,Cambridge Brewing Company,Belgian Strong Dark Ale,4.125,9.5
Off-Kilter Scottish Ale,Stewart's Brewing Co.,Scottish Ale,4,5.4
Offen Weisse,Upright Brewing Company,Hefeweizen,4,4.5
Offshore Amber Ale,Anacapa Brewing Company,American Amber / Red Ale,2.5,4.8
Offshore Amber Ale,Offshore Ale Company,American Amber / Red Ale,3.662162162,5.3
Offshore India Pale Ale,Offshore Ale Company,American IPA,3.821428571,6
Offwidth,Figure 8 Brewing,American Double / Imperial IPA,3.333333333,8.3
Ofrenda,Microcerveceria Gourmet Calavera,Tripel,3.25,8.5
Ogeechee Amber Ale,Moon River Brewing Company,American Amber / Red Ale,3.333333333,4.2
Ogtoberfest,Roosters Brewing Company and Restaurant,Märzen / Oktoberfest,4,4
Oh Boy,Wern Fawr / Bryncelyn Brewery,English Bitter,3.5,4.5
Oh Brother,Papago Brewing,Belgian Strong Pale Ale,4.5,12.5
Oh Brother!,Two Brothers Brewing Company,Tripel,3.61971831,8.5
Oh Coaly Night,Grand Teton Brewing Co.,American Porter,3.833333333,8.5
Oh My Gourd,Tequesta Brewing Company,Pumpkin Ale,4.5,6.2
Oh! La! Ho!,Shinshu Toumi City Promotion Public Corporation,American Pale Ale (APA),4.5,5
"Oh, Peg!",Earth Bread + Brewery,Belgian Dark Ale,4,7
Ohio Pale Ale,Jackie O's Pub & Brewery,American Pale Ale (APA),3.944444444,6
Ohio Pumpkin Ale,Ohio Brewing Company,Pumpkin Ale,2,6.2
Ohiofest,Ohio Brewing Company,Märzen / Oktoberfest,3,6.8
Ohota,Heineken St.Petersburg Brewery Ltd.,Euro Pale Lager,3,4.5
Ohota Extra Light,Heineken St.Petersburg Brewery Ltd.,Light Lager,4.5,3.2
Ohota Krepkoye (Strong),Heineken St.Petersburg Brewery Ltd.,Euro Strong Lager,2,8
Oil City,Barrier Brewing Company,American Black Ale,2.833333333,6
Oil Of Aphrodite,Jackie O's Pub & Brewery,American Double / Imperial Stout,4.196428571,10
Oil Of Aphrodite - Chocolate Cherry,Jackie O's Pub & Brewery,American Double / Imperial Stout,4.115384615,10
Oil Of Aphrodite - Chocolate-Mint,Jackie O's Pub & Brewery,American Double / Imperial Stout,2.75,10
Oil Of Aphrodite - Coffee,Jackie O's Pub & Brewery,American Double / Imperial Stout,4.5,10
Oil Of Aphrodite - Kopi Luwak,Jackie O's Pub & Brewery,American Double / Imperial Stout,4.375,10
Oil Of Aphrodite - Mint,Jackie O's Pub & Brewery,American Double / Imperial Stout,3.75,10
Oil Of Aphrodite - Rum Barrel Aged,Jackie O's Pub & Brewery,American Double / Imperial Stout,4.5,10
Oil Of Aphrodite - Spumoni,Jackie O's Pub & Brewery,American Double / Imperial Stout,4.1875,10
Oil Of Aphrodite - Vanilla,Jackie O's Pub & Brewery,American Double / Imperial Stout,4.5,10
Oil Of Harmonia,Jackie O's Pub & Brewery,American Double / Imperial Stout,5,6
Oil Piers Porter,Surf Brewery,American Porter,3,5.3
Oirase Dark Lager,Oirase Brewery,Euro Dark Lager,4,5
Oirase Pilsner,Oirase Brewery,Czech Pilsener,4,5
Oishii Mizu,"Abashiri, K.K.",Japanese Rice Lager,4,5
Okakopafest,Maui Brewing Co. (Brewpub),Märzen / Oktoberfest,3.5,6.3
Okanagan Old English Porter,Okanagan Spring Brewery,Baltic Porter,3.661290323,8.5
Okauchee Scotchie Ale,Delafield Brewhaus,Scotch Ale / Wee Heavy,4,7.5
Oko,Brasserie Heineken,Herbed / Spiced Beer,3.5,3
Okocim (Zagloba) Premium Beer,Browar Okocim S.A. (Carlsberg),Euro Pale Lager,3.450980392,5.9
Okocim Beer,Browar Okocim S.A. (Carlsberg),German Pilsener,3.115853659,7
Okocim Jasne Pelne,Browar Okocim S.A. (Carlsberg),Light Lager,2.9,5.8
Okocim Karmi,Browar Okocim S.A. (Carlsberg),Light Lager,2.75,1.5
Okocim Mocne,Browar Okocim S.A. (Carlsberg),Euro Strong Lager,2.928571429,7.5
Okocim Mocne Premium Malt Liquor,Browar Okocim S.A. (Carlsberg),Euro Strong Lager,3.1,7
Okocim Porter,Browar Okocim S.A. (Carlsberg),Baltic Porter,4.212962963,8.1
Okocim Premium Pils,Browar Okocim S.A. (Carlsberg),German Pilsener,2,5.6
Okto,Widmer Brothers Brewing Company,Altbier,3.35483871,5.5
Okto Braü,Blue Hills Brewery,Märzen / Oktoberfest,3.4375,5.8
Oktober,Panimoravintola Koulu,Märzen / Oktoberfest,3.5,5
Oktober Bock,Herslev Bryghus,Bock,4,7.5
Oktober Chest,Birrificio Lodigiano,Fruit / Vegetable Beer,1.833333333,7
Oktober Fest,Engine House No.9,Märzen / Oktoberfest,4,5
Oktober Fest,Stoudts Brewing Co.,Märzen / Oktoberfest,3.625581395,5
Oktober Festbier,Feldschlösschen Beverages Group,Märzen / Oktoberfest,2,5.2
OktoberBeast,Aviator Brewing Company,Märzen / Oktoberfest,4.0625,7.2
OktoberFiesta 2011,Freetail Brewing Company,Märzen / Oktoberfest,3.75,6.2
OktoberFish,Flying Fish Brewing Company,Märzen / Oktoberfest,3.549107143,5.5
Oktoberator,Full Circle Brewing Co.,Märzen / Oktoberfest,5,8.5
Oktoberfest,Adirondack Pub & Brewery,Märzen / Oktoberfest,4.5,6.2
Oktoberfest,Aktien-Brauerei Kaufbeuren AG,Märzen / Oktoberfest,3.5,5.9
Oktoberfest,Allentown Brew Works,Märzen / Oktoberfest,3,6.2
Oktoberfest,Amos Howard's Brew Pub,Märzen / Oktoberfest,3.25,5.3
Oktoberfest,August Schell Brewing Company,Märzen / Oktoberfest,3.583892617,5.5
Oktoberfest,BJ's Restaurant & Brewery,Märzen / Oktoberfest,3,5.6
Oktoberfest,Barley John's Brew Pub,Märzen / Oktoberfest,4.5,6.8
Oktoberfest,Baron Brewing,Märzen / Oktoberfest,3.441176471,6.5
Oktoberfest,Bend Brewing Company,Märzen / Oktoberfest,3,5.8
Oktoberfest,Black Forest Brew Haus & Grill,Märzen / Oktoberfest,4,5.2
Oktoberfest,Blue Heron BrewPub,American Amber / Red Lager,3.5,5.4
Oktoberfest,Bluegrass Brewing Co. - East St. Matthew's,Märzen / Oktoberfest,4,6
Oktoberfest,Broad Ripple Brew Pub,Märzen / Oktoberfest,4,5.5
Oktoberfest,Cally's Restaurant and Brewing Co.,Märzen / Oktoberfest,4,5.7
Oktoberfest,Capital Brewery,Märzen / Oktoberfest,3.618852459,5.5
Oktoberfest,Carolina Brewery,Märzen / Oktoberfest,3.333333333,5.3
Oktoberfest,Cornerstone Brewing Company,Märzen / Oktoberfest,3.75,5.8
Oktoberfest,Court Avenue Brewing Company,Märzen / Oktoberfest,2.5,4.3
Oktoberfest,Crown Brewing,Vienna Lager,2.5,5.8
Oktoberfest,Dark Star Brewing Company Limited,Märzen / Oktoberfest,3.75,5.2
Oktoberfest,Deschutes Brewery,Märzen / Oktoberfest,3.666666667,5.6
Oktoberfest,District ChopHouse & Brewery,Märzen / Oktoberfest,3.5,6.4
Oktoberfest,Flat Branch Pub & Brewery,Märzen / Oktoberfest,3.5,4.9
Oktoberfest,"Fredericksburg Brewing Company, Inc.",Märzen / Oktoberfest,3.5,6
Oktoberfest,Gamla Slottskällans Bryggeri AB,Märzen / Oktoberfest,3.5,5.2
Oktoberfest,Goose Island Beer Co.,Märzen / Oktoberfest,3.701492537,5.4
Oktoberfest,Grand Teton Brewing Co.,Märzen / Oktoberfest,4,5.8
Oktoberfest,Granville Island Brewery,Märzen / Oktoberfest,4,6.2
Oktoberfest,Great Basin Brewing Co.,Märzen / Oktoberfest,4,6
Oktoberfest,Great River Brewery,Märzen / Oktoberfest,3.714285714,5.9
Oktoberfest,Ham's Restaurant & Brewhouse,Märzen / Oktoberfest,4,6.5
Oktoberfest,Harvest Moon Brewery & Cafe,Märzen / Oktoberfest,3.8,5.3
Oktoberfest,Hinterland Brewery Restaurant,Märzen / Oktoberfest,3.862068966,6
Oktoberfest,Intuition Ale Works,Märzen / Oktoberfest,4,5.2
Oktoberfest,Iron Springs Pub & Brewery,Märzen / Oktoberfest,4,5
Oktoberfest,John Harvard's Brewery & Ale House,Märzen / Oktoberfest,3.875,5
Oktoberfest,John S. Rhodell Brewery,Märzen / Oktoberfest,4,6
Oktoberfest,Kutztown Tavern,Märzen / Oktoberfest,4,4.9
Oktoberfest,La Diable,Märzen / Oktoberfest,3,5.7
Oktoberfest,Lancaster Brewing Company,Vienna Lager,3.551470588,6.5
Oktoberfest,Legend Brewing Co.,Märzen / Oktoberfest,3.846938776,5.4
Oktoberfest,Les Trois Mousquetaires,Märzen / Oktoberfest,3.5,5
Oktoberfest,"Mash House Restaurant & Brewery, The",Märzen / Oktoberfest,3.5,5.4
Oktoberfest,Max's Fanno Creek Brew Pub,Märzen / Oktoberfest,3.5,5.5
Oktoberfest,McKenzie Brew House,Märzen / Oktoberfest,3.5,5.8
Oktoberfest,Mickey Finn's Brewery,Märzen / Oktoberfest,3.3,6
Oktoberfest,Mudhook Brewing Company,Märzen / Oktoberfest,3,5.4
Oktoberfest,New Old Lompoc Brewery,Märzen / Oktoberfest,4.166666667,5
Oktoberfest,Onion Pub & Brewery / Wild Onion Brewing Co.,Märzen / Oktoberfest,4,6.5
Oktoberfest,Otto's Pub and Brewery,Märzen / Oktoberfest,3.785714286,5.7
Oktoberfest,Pinglehead Brewing Co. / Brewer's Pizza,Märzen / Oktoberfest,4.5,5.5
Oktoberfest,Port Brewing Company / Pizza Port,Märzen / Oktoberfest,3,5.2
Oktoberfest,Port City Brewing,Märzen / Oktoberfest,4.136363636,6
Oktoberfest,Pump House Brewery,Märzen / Oktoberfest,3,5.5
Oktoberfest,Ragtime Taproom & Brewery,Märzen / Oktoberfest,4.25,4.8
Oktoberfest,Rahr & Sons Brewing Company,Märzen / Oktoberfest,2.983870968,7.5
Oktoberfest,Richbrau Brewing Company,Märzen / Oktoberfest,4,5.8
Oktoberfest,Rivertowne Pourhouse,Märzen / Oktoberfest,4,6.6
Oktoberfest,Royal Oak Brewery,Märzen / Oktoberfest,3,6.7
Oktoberfest,Santa Fe Brewing Company,Märzen / Oktoberfest,3.75,6
Oktoberfest,Schmohz Brewing Company,American Dark Wheat Ale,3.3,5.2
Oktoberfest,Sierra Madre Brewing Co.,Märzen / Oktoberfest,4,6
Oktoberfest,Silver City Brewing Co.,Märzen / Oktoberfest,3.4,6
Oktoberfest,Silver Gulch Brewing and Bottling Co.,Märzen / Oktoberfest,4.5,5.1
Oktoberfest,Sly Fox Brewing Company,Märzen / Oktoberfest,3.882352941,5.8
Oktoberfest,Sprecher Brewing Company,Märzen / Oktoberfest,3.786231884,6
Oktoberfest,"St. George Brewing Company, The",Märzen / Oktoberfest,3.75,5
Oktoberfest,Sun King Brewing Company,Märzen / Oktoberfest,3.95,5.75
Oktoberfest,Taps Fish House & Brewery,Märzen / Oktoberfest,3.125,6.6
Oktoberfest,The Bier Brewery,Märzen / Oktoberfest,4,5.8
Oktoberfest,The Big Cheese Pizza Co.,Märzen / Oktoberfest,3.5,6
Oktoberfest,The Covey Restaurant & Brewery,Märzen / Oktoberfest,3.75,7
Oktoberfest,The Library,Märzen / Oktoberfest,4,5.2
Oktoberfest,The Lucky Monk,Märzen / Oktoberfest,3.5,6
Oktoberfest,Third Base Sports Bar & Brewery,Märzen / Oktoberfest,3.5,3.8
Oktoberfest,Thomas Creek Brewery,Märzen / Oktoberfest,4,6
Oktoberfest,Tin Mill Brewing,Märzen / Oktoberfest,3,5
Oktoberfest,Tri-City Brewing Company,Märzen / Oktoberfest,3.875,6
Oktoberfest,Trinity Brewhouse,Märzen / Oktoberfest,2.944444444,5.5
Oktoberfest,Tun Tavern,Märzen / Oktoberfest,3.5,4.9
Oktoberfest,Upland Brewing Company,Märzen / Oktoberfest,3.684210526,6.8
Oktoberfest,Vintage Brewing Company,Märzen / Oktoberfest,3.5,5.6
Oktoberfest,Weeping Radish Eco Farm & Brewery,Märzen / Oktoberfest,2.1,5.8
Oktoberfest,Wilbur Brewing Co.,Märzen / Oktoberfest,3.5,5
Oktoberfest,Wild Rose Brewery & Taproom,Märzen / Oktoberfest,3.5,5.5
Oktoberfest,Wolverine State Brewing Company,Märzen / Oktoberfest,4,6.25
Oktoberfest (Unfiltered),Vintage Brewing Company,Märzen / Oktoberfest,4,5.6
Oktoberfest 2006,Les Trois Mousquetaires,Märzen / Oktoberfest,3.5,6.5
Oktoberfest 2007,Legend Brewing Co.,Märzen / Oktoberfest,3.5,5.4
Oktoberfest Ale,Lagunitas Brewing Company,American Amber / Red Ale,3.571428571,6
Oktoberfest Amber Lager,Phillips Brewing Company,Märzen / Oktoberfest,3.666666667,5
Oktoberfest Beer,Crown Valley Brewing & Distilling Co.,Märzen / Oktoberfest,3.75,5.6
Oktoberfest Bier,Chuckanut Brewery & Kitchen,Märzen / Oktoberfest,4,5
Oktoberfest Bier,Delafield Brewhaus,Märzen / Oktoberfest,4.333333333,6
Oktoberfest Bier,Hoppers Grill & Brewing Co.,Märzen / Oktoberfest,4,4
Oktoberfest Bier,Union Station Brewery,Märzen / Oktoberfest,4,5.4
Oktoberfest Brau,Garrison Brewing Company,Märzen / Oktoberfest,3.514705882,4.8
Oktoberfest Lager,A1A Aleworks,Märzen / Oktoberfest,3,5.2
Oktoberfest Lager,Barrel House Brewing Company,Märzen / Oktoberfest,3.4375,6.2
Oktoberfest Lager,Beer Works,Märzen / Oktoberfest,3.766666667,6
Oktoberfest Lager,Capitol City Brewing,Märzen / Oktoberfest,3,5.6
Oktoberfest Lager,Creemore Springs Brewery Limited,Märzen / Oktoberfest,4,5.3
Oktoberfest Lager,Half Pints Brewing Company,Märzen / Oktoberfest,4.027777778,6.2
Oktoberfest Lager,Hangar 24 Brewery,Märzen / Oktoberfest,3.5,6.2
Oktoberfest Lager,Marshall Brewing Company,Märzen / Oktoberfest,4.125,6
Oktoberfest Lager,Red Lodge Ales,Märzen / Oktoberfest,4,5.5
Oktoberfest Lager,Redoak Boutique Beer Café,Märzen / Oktoberfest,3.25,6
Oktoberfest Lager,Rivertown Brewing Co.,Märzen / Oktoberfest,3.4,6.7
Oktoberfest Lager,SLO Brewing Company,Märzen / Oktoberfest,4,6.3
Oktoberfest Lager,Sly Fox Brewing Company,Märzen / Oktoberfest,3.629807692,5.8
Oktoberfest Lager,The Livery,Märzen / Oktoberfest,4,5.5
Oktoberfest Lager Beer,"Lakefront Brewery, Inc.",Märzen / Oktoberfest,3.386363636,5.7
Oktoberfest Läger,Three Rivers Eatery And Brewhouse,Märzen / Oktoberfest,4.5,4.5
Oktoberfest Marzen,Third Street Aleworks,Märzen / Oktoberfest,3.5,6
Oktoberfest Marzen Bier,Haymarket Pub & Brewery,Märzen / Oktoberfest,3.75,6.5
Oktoberfest Märzen,Red Oak Brewery,Märzen / Oktoberfest,3,2.7
Oktoberfest Märzen Beer,French Broad Brewing Co.,Märzen / Oktoberfest,4,4.3
Oktoberfest Revolution,Revolution Brewing Company - Brewpub,Märzen / Oktoberfest,3.5,6.3
Oktoberfezzzt 2006,Dugges Ale- & Porterbryggeri AB,Extra Special / Strong Bitter (ESB),3.5,5.7
Oktobock,New Old Lompoc Brewery,Märzen / Oktoberfest,4,6.7
Okult No.1 - Blanche,Brasserie Artisanale de Redange,Witbier,3.5,5.4
Okult No.2 - Rousse,Brasserie Artisanale de Redange,Dunkelweizen,3.25,5.4
Okult No.3 - Blonde,Brasserie Artisanale de Redange,Belgian Pale Ale,3,5.4
Okult No1 Blanche,Brasserie Simon,Witbier,4,5.4
Okult Stout,Brasserie Artisanale de Redange,American Stout,3.5,6.2
Ol Oku,Turtle Mountain Brewing Company,American Barleywine,4.5,13.3
Ol' 169,San Luis Valley Brewing Company,Oatmeal Stout,3.5,5.3
Ol' Dread,Three Floyds Brewing Co. & Brewpub,American Double / Imperial IPA,4.25,14
Ol' Fog Burner,Garrison Brewing Company,English Barleywine,3.982758621,10.3
Ol' Jack Frost Imperial Stout,Minneapolis Town Hall Brewery,Russian Imperial Stout,4.465517241,8.9
Ol' Lantern Jaw English Mild,The Wrecking Bar,English Dark Mild Ale,4,3.7
Ol' Lickspigot Barleywine,Calapooia Brewing Company,American Barleywine,3.5,10
Ol' Mo,Rubicon Brewing Company,English Porter,3.666666667,7.7
Ol' Pinchfister,Grove Street Brewhouse,Winter Warmer,4,6
Ol' Red Cease And Desist,Erie Brewing Co.,Scotch Ale / Wee Heavy,3.457943925,10.1
Ol' Saint Nick,Block 15 Brewery & Restaurant,American Strong Ale,4,10
Ol' Shag Barleywine,Browning's Brewery,English Barleywine,4,11
Ol' Smithy Spiced Winter Ale,Old Forge Brewing Company,Winter Warmer,3.5,9.6
Ol' Willy Wit,Fernie Brewing Co.,Witbier,3.6,5
Ol' WoodenHead Smoked Porter,Mt. Begbie Brewing Co.,American Porter,3.583333333,6.4
Ol' Woody Alt,Sawdust City Brewing Company,Altbier,3.75,5.3
Ola Dubh Special Reserve 12,Harviestoun Brewery Ltd.,Old Ale,4.212454212,8
Ola Dubh Special Reserve 16,Harviestoun Brewery Ltd.,Old Ale,4.147321429,8
Ola Dubh Special Reserve 18,Harviestoun Brewery Ltd.,Old Ale,4.278571429,8
Ola Dubh Special Reserve 30,Harviestoun Brewery Ltd.,Old Ale,4.359296482,8
Ola Dubh Special Reserve 40,Harviestoun Brewery Ltd.,Old Ale,4.338541667,8
Olallieberry Cream Ale,Santa Cruz Mountain Brewing,Fruit / Vegetable Beer,3.5,7
Olallieberry Lambic,Bootlegger's Brewery,American Wild Ale,4.1,5.1
Olallieberry Sour,Valley Brewing Company,American Wild Ale,3.833333333,6.5
Oland Export,Alexander Keith's,American Pale Ale (APA),2.916666667,5
Old # 13,John Harvard's Brewery & Ale House,American Porter,4,8.5
Old #38 Stout,North Coast Brewing Co.,Irish Dry Stout,3.823478261,5.6
Old '99 Barleywine,Barley Creek Brewing Company,American Barleywine,2.714285714,11
Old 21 Imperial IPA,The Brew Kettle Taproom & Smokehouse / Production Works,American Double / Imperial IPA,3.966666667,9.5
Old 24,Flat Tail Brewing,English Strong Ale,3.5,9.5
Old 320 Barleywine,Max Lager's American Grill & Brewery,American Barleywine,3.785714286,9.8
Old 56,Brau Brothers Brewing Co. LLC,Light Lager,3.333333333,4.2
Old 95,Emerson's Brewery,Old Ale,3.975,7
Old Aberration,Goose Island Beer Co.,American Barleywine,4.318181818,10.2
Old Abominable,Stoudts Brewing Co.,English Barleywine,3.677419355,9
Old Abominable,Karl Strauss Brewing Company,German Pilsener,3.27173913,4.6
Old Admiral,Lord Nelson Brewery Hotel,English Strong Ale,3.391304348,6.7
Old Ale,Bube's Brewery,Old Ale,4,7.6
Old Ale,Bullfrog Brewery,Belgian Strong Dark Ale,4.5,11
Old Ale,Cornerstone Brewing Company,Old Ale,4,6.9
Old Ale,Hepworth & Co. (Brewers) Ltd.,Old Ale,4,4.8
Old Ale,Highgate Brewery Ltd,Old Ale,4,5.1
Old Ale,Iron Hill Brewery & Restaurant,Old Ale,4.038461538,7.2
Old Ale,Minneapolis Town Hall Brewery,Old Ale,4.833333333,9.3
Old Ale,Saint Louis Brewery / Schlafly Tap Room,English Strong Ale,3.5,8
Old Ale,Square One Brewery,Old Ale,4,8.9
Old Ale,Yards Brewing Co.,Old Ale,3.6875,7.5
Old Ale (Spring '09),Magic Hat Brewing Company,Old Ale,4.5,8
Old Allentown Ale,Allentown Brew Works,American Brown Ale,3.75,5
Old Australia Stout,South Australia Brewing Co.,Foreign / Export Stout,3.416666667,6.5
Old Backus Barleywine,Free State Brewing Co.,American Barleywine,4.491071429,10.5
Old Bad Cat Barleywine 2004,Wolf Brewing Company,English Barleywine,4.25,12
Old Bad Cat Barleywine 2005,Wolf Brewing Company,English Barleywine,4,10.5
Old Bad Cat Barleywine 2006,Wolf Brewing Company,English Barleywine,4.5,12
Old Bad Cat Barleywine 2008,Wolf Brewing Company,English Barleywine,4.3,11.5
Old Ball & Chain,Port Brewing Company / Pizza Port,American Pale Ale (APA),3.5,5.6
Old Bartholomew,Yards Brewing Co.,English Barleywine,3.833333333,10.3
